en	ro	fr	de	es	pt	it	pl
conflict of interest	conflict de interese	conflit d'intérêts	Interessenkonflikt	conflicto de intereses	conflito de interesses	conflitto di interessi	konflikt interesów
merit	merit	mérite	Verdienst	mérito	mérito	merito	zasługa
reproduction	reproducere	reproduction	Fortpflanzung	reproducción	reprodução	riproduzione	rozmnażanie
genetic score	scor genetic	score génétique	genetischer Score	puntuación genética	pontuação genética	punteggio genetico	wynik genetyczny
evolutionary explanation	explicație evoluționistă	explication évolutionniste	evolutionäre Erklärung	explicación evolutiva	explicação evolutiva	spiegazione evolutiva	wyjaśnienie ewolucyjne
genetic variation	variație genetică	variation génétique	genetische Variation	variación genética	variação genética	variazione genetica	zmienność genetyczna
kinship	rudenie	parenté	Verwandtschaft	parentesco	parentesco	parentela	pokrewieństwo
reciprocity	reciprocitate	réciprocité	Gegenseitigkeit	reciprocidad	reciprocidade	reciprocità	wzajemność
group structure	structură de grup	structure du groupe	Gruppenstruktur	estructura grupal	estrutura do grupo	struttura del gruppo	struktura grupy
universal justice	dreptate universală	justice universelle	universelle Gerechtigkeit	justicia universal	justiça universal	giustizia universale	uniwersalna sprawiedliwość
deception	înșelăciune	tromperie	Täuschung	engaño	engano	inganno	oszustwo
visible contributions	contribuții vizibile	contributions visibles	sichtbare Beiträge	contribuciones visibles	contribuições visíveis	contributi visibili	widoczne wkłady
unpaid infrastructure	infrastructură neplătită	infrastructure non rémunérée	unbezahlte Infrastruktur	infraestructura no remunerada	infraestrutura não remunerada	infrastruttura non retribuita	nieodpłatna infrastruktura
moral absolution	absolvire morală	absolution morale	moralische Absolution	absolución moral	absolvição moral	assoluzione morale	moralne rozgrzeszenie
conscious purpose	scop conștient	but conscient	bewusster Zweck	propósito consciente	propósito consciente	scopo consapevole	świadomy cel
counterevidence	dovezi contrare	preuves contraires	Gegenbelege	pruebas contrarias	provas contrárias	prove contrarie	dowody przeciwne
attachment	atașament	attachement	Bindung	apego	apego	attaccamento	przywiązanie
manipulation	manipulare	manipulation	Manipulation	manipulación	manipulação	manipolazione	manipulacja
collective success	succes colectiv	réussite collective	kollektiver Erfolg	éxito colectivo	sucesso coletivo	successo collettivo	zbiorowy sukces
unequal sacrifices	sacrificii inegale	sacrifices inégaux	ungleiche Opfer	sacrificios desiguales	sacrifícios desiguais	sacrifici diseguali	nierówne poświęcenia
indispensability	indispensabilitate	caractère indispensable	Unentbehrlichkeit	indispensabilidad	indispensabilidade	indispensabilità	niezastąpioność
delegation	delegare	délégation	Delegation	delegación	delegação	delega	delegowanie
unclaimed tasks	sarcini nerevendicate	tâches sans responsable	nicht übernommene Aufgaben	tareas sin asumir	tarefas não assumidas	compiti non assunti	zadania bez wykonawcy
attributed passion	pasiune atribuită	passion attribuée	zugeschriebene Leidenschaft	pasión atribuida	paixão atribuída	passione attribuita	przypisywana pasja
working conditions	condiții de muncă	conditions de travail	Arbeitsbedingungen	condiciones laborales	condições de trabalho	condizioni di lavoro	warunki pracy
voluntary extra effort	efort suplimentar voluntar	effort supplémentaire volontaire	freiwilliger Mehraufwand	esfuerzo extra voluntario	esforço adicional voluntário	sforzo supplementare volontario	dobrowolny dodatkowy wysiłek
selection committee	comisie de selecție	comité de sélection	Auswahlkommission	comité de selección	comissão de seleção	comitato di selezione	komisja selekcyjna
critical questions	întrebări critice	questions critiques	kritische Fragen	preguntas críticas	perguntas críticas	domande critiche	krytyczne pytania
moral purity	puritate morală	pureté morale	moralische Reinheit	pureza moral	pureza moral	purezza morale	czystość moralna
intelligent system	sistem inteligent	système intelligent	intelligentes System	sistema inteligente	sistema inteligente	sistema intelligente	system inteligentny
overload	suprasolicitare	surcharge	Überlastung	sobrecarga	sobrecarga	sovraccarico	przeciążenie
costly assistance	ajutor costisitor	aide coûteuse	kostspielige Hilfe	ayuda costosa	ajuda dispendiosa	aiuto costoso	kosztowna pomoc
altruism	altruism	altruisme	Altruismus	altruismo	altruísmo	altruismo	altruizm
universal cynicism	cinism universal	cynisme universel	universeller Zynismus	cinismo universal	cinismo universal	cinismo universale	powszechny cynizm
inner lawyer	avocat interior	avocat intérieur	innerer Anwalt	abogado interior	advogado interior	avvocato interiore	wewnętrzny adwokat
moral reasoning	raționament moral	raisonnement moral	moralisches Denken	razonamiento moral	raciocínio moral	ragionamento morale	rozumowanie moralne
psychological theories	teorii psihologice	théories psychologiques	psychologische Theorien	teorías psicológicas	teorias psicológicas	teorie psicologiche	teorie psychologiczne
redistribution	redistribuire	redistribution	Umverteilung	redistribución	redistribuição	redistribuzione	redystrybucja
sanctions	sancțiuni	sanctions	Sanktionen	sanciones	sanções	sanzioni	sankcje
skepticism	scepticism	scepticisme	Skeptizismus	escepticismo	ceticismo	scetticismo	sceptycyzm
public-goods experiments	experimente privind bunurile publice	expériences sur les biens publics	Experimente zu öffentlichen Gütern	experimentos sobre bienes públicos	experiências sobre bens públicos	esperimenti sui beni pubblici	eksperymenty dotyczące dóbr publicznych
perfectionism	perfecționism	perfectionnisme	Perfektionismus	perfeccionismo	perfeccionismo	perfezionismo	perfekcjonizm
cynical genius illusion	iluzia geniului cinic	illusion du génie cynique	Illusion des zynischen Genies	ilusión del genio cínico	ilusão do génio cínico	illusione del genio cinico	iluzja cynicznego geniuszu
calibrated judgment	judecată calibrată	jugement calibré	kalibriertes Urteil	juicio calibrado	juízo calibrado	giudizio calibrato	skalibrowany osąd
false alarms	alarme false	fausses alertes	Fehlalarme	falsas alarmas	falsos alarmes	falsi allarmi	fałszywe alarmy
awakened elite	elită trezită	élite éveillée	erwachte Elite	élite despierta	elite desperta	élite risvegliata	przebudzona elita
hidden burdens	poveri ascunse	charges cachées	verborgene Lasten	cargas ocultas	encargos ocultos	oneri nascosti	ukryte obciążenia
reciprocal support	sprijin reciproc	soutien réciproque	gegenseitige Unterstützung	apoyo recíproco	apoio recíproco	sostegno reciproco	wzajemne wsparcie
persistent asymmetry	asimetrie persistentă	asymétrie persistante	anhaltende Asymmetrie	asimetría persistente	assimetria persistente	asimmetria persistente	utrzymująca się asymetria
biological destiny	destin biologic	destin biologique	biologisches Schicksal	destino biológico	destino biológico	destino biologico	biologiczne przeznaczenie
unlimited contribution	contribuție nelimitată	contribution illimitée	unbegrenzter Beitrag	contribución ilimitada	contribuição ilimitada	contributo illimitato	nieograniczony wkład
voluntary gifts	daruri voluntare	dons volontaires	freiwillige Gaben	dones voluntarios	dádivas voluntárias	doni volontari	dobrowolne dary
institutional interest	interes instituțional	intérêt institutionnel	institutionelles Interesse	interés institucional	interesse institucional	interesse istituzionale	interes instytucjonalny
personal comfort	confort personal	confort personnel	persönliche Bequemlichkeit	comodidad personal	conforto pessoal	comodità personale	osobisty komfort
power games	jocuri de putere	jeux de pouvoir	Machtspiele	juegos de poder	jogos de poder	giochi di potere	gry o władzę
vulnerability	vulnerabilitate	vulnérabilité	Verletzlichkeit	vulnerabilidad	vulnerabilidade	vulnerabilità	podatność na zranienie
