en	ro	fr	de	es	pt	it	pl
semantic smoothing	netezire semantică	lissage sémantique	semantische Glättung	suavizado semántico	suavização semântica	smussamento semantico	wygładzanie semantyczne
logical commitment	angajament logic	engagement logique	logische Festlegung	compromiso lógico	compromisso lógico	impegno logico	zobowiązanie logiczne
causal intervention	intervenție cauzală	intervention causale	kausale Intervention	intervención causal	intervenção causal	intervento causale	interwencja przyczynowa
embeddings	reprezentări vectoriale	plongements vectoriels	Vektoreinbettungen	representaciones vectoriales	representações vetoriais	rappresentazioni vettoriali	reprezentacje wektorowe
search queries	interogări de căutare	requêtes de recherche	Suchanfragen	consultas de búsqueda	consultas de busca	query di ricerca	zapytania wyszukiwania
literal search	căutare literală	recherche littérale	wörtliche Suche	búsqueda literal	busca literal	ricerca letterale	wyszukiwanie dosłowne
synonyms	sinonime	synonymes	Synonyme	sinónimos	sinônimos	sinonimi	synonimy
representation theorem	teoremă de reprezentare	théorème de représentation	Darstellungssatz	teorema de representación	teorema de representação	teorema di rappresentazione	twierdzenie o reprezentacji
perfect classification	clasificare perfectă	classification parfaite	perfekte Klassifikation	clasificación perfecta	classificação perfeita	classificazione perfetta	doskonała klasyfikacja
equivalent paraphrases	parafraze echivalente	paraphrases équivalentes	äquivalente Paraphrasen	paráfrasis equivalentes	paráfrases equivalentes	parafrasi equivalenti	równoważne parafrazy
compact representations	reprezentări compacte	représentations compactes	kompakte Darstellungen	representaciones compactas	representações compactas	rappresentazioni compatte	zwarte reprezentacje
comparison framework	cadru de comparație	cadre de comparaison	Vergleichsrahmen	marco de comparación	estrutura de comparação	quadro di confronto	ramy porównania
program equivalence	echivalența programelor	équivalence de programmes	Programmäquivalenz	equivalencia de programas	equivalência de programas	equivalenza dei programmi	równoważność programów
undecidable problems	probleme indecidabile	problèmes indécidables	unentscheidbare Probleme	problemas indecidibles	problemas indecidíveis	problemi indecidibili	problemy nierozstrzygalne
Boolean library	bibliotecă booleană	bibliothèque booléenne	boolesche Bibliothek	biblioteca booleana	biblioteca booleana	libreria booleana	biblioteka boolowska
truth-table comparison	comparația tabelelor de adevăr	comparaison de tables de vérité	Wahrheitstabellenvergleich	comparación de tablas de verdad	comparação de tabelas-verdade	confronto delle tavole di verità	porównanie tabel prawdy
scientific revolutions	revoluții științifice	révolutions scientifiques	wissenschaftliche Revolutionen	revoluciones científicas	revoluções científicas	rivoluzioni scientifiche	rewolucje naukowe
behavioral bias	bias comportamental	biais comportemental	Verhaltensverzerrung	sesgo conductual	viés comportamental	distorsione comportamentale	stronniczość behawioralna
training exposure	expunere la antrenare	exposition à l’entraînement	Trainingsexposition	exposición al entrenamiento	exposição no treinamento	esposizione nell’addestramento	ekspozycja treningowa
informational loss	pierdere informațională	perte informationnelle	Informationsverlust	pérdida informacional	perda informacional	perdita informativa	utrata informacji
institutional feedback	feedback instituțional	rétroaction institutionnelle	institutionelle Rückkopplung	retroalimentación institucional	retroalimentação institucional	retroazione istituzionale	instytucjonalne sprzężenie zwrotne
presentation sensitivity	sensibilitate la prezentare	sensibilité à la présentation	Darstellungssensitivität	sensibilidad a la presentación	sensibilidade à apresentação	sensibilità alla presentazione	wrażliwość na prezentację
source access	acces la sursă	accès à la source	Quellenzugriff	acceso a la fuente	acesso à fonte	accesso alla fonte	dostęp do źródła
oracle condition	condiție cu oracol	condition avec oracle	Orakelbedingung	condición con oráculo	condição com oráculo	condizione con oracolo	warunek z wyrocznią
randomized order	ordine randomizată	ordre aléatoire	randomisierte Reihenfolge	orden aleatorizado	ordem aleatória	ordine randomizzato	kolejność losowa
fixed configurations	configurații fixe	configurations fixes	feste Konfigurationen	configuraciones fijas	configurações fixas	configurazioni fisse	stałe konfiguracje
perplexity	perplexitate	perplexité	Perplexität	perplejidad	perplexidade	perplessità	perpleksja
independent runs	rulări independente	exécutions indépendantes	unabhängige Durchläufe	ejecuciones independientes	execuções independentes	esecuzioni indipendenti	niezależne przebiegi
planning simulations	simulări pentru planificare	simulations de planification	Planungssimulationen	simulaciones de planificación	simulações de planejamento	simulazioni di pianificazione	symulacje planistyczne
model behavior	comportamentul modelului	comportement du modèle	Modellverhalten	comportamiento del modelo	comportamento do modelo	comportamento del modello	zachowanie modelu
finite circuits	circuite finite	circuits finis	endliche Schaltungen	circuitos finitos	circuitos finitos	circuiti finiti	skończone obwody
informational collision	coliziune informațională	collision informationnelle	Informationskollision	colisión informacional	colisão informacional	collisione informativa	kolizja informacyjna
missing evidence	dovezi lipsă	preuves manquantes	fehlende Evidenz	pruebas faltantes	evidências ausentes	prove mancanti	brakujące dowody
test families	familii de teste	familles de tests	Testfamilien	familias de pruebas	famílias de testes	famiglie di test	rodziny testów
evaluator biases	biasuri ale evaluatorilor	biais des évaluateurs	Bewertungsverzerrungen	sesgos de los evaluadores	vieses dos avaliadores	distorsioni dei valutatori	stronniczość oceniających
blind human judgments	evaluări umane oarbe	jugements humains en aveugle	verblindete menschliche Urteile	juicios humanos ciegos	julgamentos humanos cegos	giudizi umani in cieco	ślepe oceny ludzkie
review-based benchmarks	benchmarkuri bazate pe recenzii	benchmarks fondés sur les évaluations	begutachtungsbasierte Benchmarks	pruebas de referencia basadas en revisiones	benchmarks baseados em avaliações	benchmark basati su revisioni	benchmarki oparte na recenzjach
out-of-distribution detection	detectarea datelor din afara distribuției	détection hors distribution	Erkennung außerhalb der Verteilung	detección fuera de distribución	detecção fora de distribuição	rilevamento fuori distribuzione	wykrywanie danych spoza rozkładu
citation impact	impactul citărilor	impact des citations	Zitationswirkung	impacto de las citas	impacto das citações	impatto delle citazioni	wpływ cytowań
prospective evaluation	evaluare prospectivă	évaluation prospective	prospektive Bewertung	evaluación prospectiva	avaliação prospectiva	valutazione prospettica	ocena prospektywna
expert disagreements	dezacorduri între experți	désaccords entre experts	Expertenmeinungsverschiedenheiten	desacuerdos entre expertos	divergências entre especialistas	disaccordi tra esperti	rozbieżności między ekspertami
claimed novelty	noutate pretinsă	nouveauté revendiquée	beanspruchte Neuheit	novedad alegada	novidade alegada	novità dichiarata	deklarowana nowość
comparison-supported novelty	noutate susținută prin comparație	nouveauté étayée par comparaison	vergleichsgestützte Neuheit	novedad respaldada por comparación	novidade sustentada por comparação	novità supportata dal confronto	nowość poparta porównaniem
technically validated novelty	noutate validată tehnic	nouveauté validée techniquement	technisch validierte Neuheit	novedad validada técnicamente	novidade validada tecnicamente	novità tecnicamente convalidata	nowość zweryfikowana technicznie
abstention coverage	acoperirea abținerii	couverture de l’abstention	Abstentionsabdeckung	cobertura de abstención	cobertura de abstenção	copertura dell’astensione	zakres wstrzymania się od oceny
decided-case risk	risc pentru cazurile decise	risque sur les cas tranchés	Risiko entschiedener Fälle	riesgo en casos decididos	risco nos casos decididos	rischio nei casi decisi	ryzyko w rozstrzygniętych przypadkach
escalation cost	cost de escaladare	coût d’escalade	Eskalationskosten	coste de escalamiento	custo de escalonamento	costo di escalation	koszt eskalacji
versioned original	original versionat	original versionné	versioniertes Original	original versionado	original versionado	originale versionato	wersjonowany oryginał
supporting passages	pasaje justificative	passages justificatifs	stützende Textstellen	pasajes de apoyo	trechos de apoio	passaggi a sostegno	fragmenty wspierające
explicit assertion	afirmație explicită	assertion explicite	explizite Behauptung	afirmación explícita	afirmação explícita	affermazione esplicita	jawne twierdzenie
exact verifier	verificator exact	vérificateur exact	exakter Verifikator	verificador exacto	verificador exato	verificatore esatto	dokładny weryfikator
language-to-formal translation	traducere din limbaj în formalism	traduction du langage en formalisme	Übersetzung von Sprache in Formalismus	traducción del lenguaje al formalismo	tradução da linguagem para o formalismo	traduzione dal linguaggio al formalismo	tłumaczenie języka na formalizm
adversarial roles	roluri adversariale	rôles adverses	adversariale Rollen	roles adversarios	papéis adversariais	ruoli avversari	role adwersarialne
contrary evidence	dovezi contrare	preuves contraires	Gegenevidenz	pruebas contrarias	evidências contrárias	prove contrarie	dowody przeciwne
application control	controlul aplicației	contrôle de l’application	Anwendungssteuerung	control de la aplicación	controle da aplicação	controllo dell’applicazione	sterowanie aplikacją
acceptance criteria	criterii de acceptare	critères d’acceptation	Akzeptanzkriterien	criterios de aceptación	critérios de aceitação	criteri di accettazione	kryteria akceptacji
semantic sensitivity	sensibilitate semantică	sensibilité sémantique	semantische Sensitivität	sensibilidad semántica	sensibilidade semântica	sensibilità semantica	wrażliwość semantyczna
full-text baseline	referință de bază cu text integral	référence de base en texte intégral	Volltext-Baseline	línea base de texto completo	linha de base de texto completo	riferimento di base a testo integrale	pełnotekstowy punkt odniesienia
ambiguity detector	detector de ambiguitate	détecteur d’ambiguïté	Mehrdeutigkeitsdetektor	detector de ambigüedad	detector de ambiguidade	rilevatore di ambiguità	detektor niejednoznaczności
human verification	verificare umană	vérification humaine	menschliche Überprüfung	verificación humana	verificação humana	verifica umana	weryfikacja przez człowieka
research portfolio	portofoliu de cercetare	portefeuille de recherche	Forschungsportfolio	cartera de investigación	portfólio de pesquisa	portafoglio di ricerca	portfel badawczy
expected value	valoare așteptată	valeur attendue	Erwartungswert	valor esperado	valor esperado	valore atteso	wartość oczekiwana
normative choice	alegere normativă	choix normatif	normative Entscheidung	elección normativa	escolha normativa	scelta normativa	wybór normatywny
incremental advances	progrese incrementale	avancées incrémentales	inkrementelle Fortschritte	avances incrementales	avanços incrementais	progressi incrementali	przyrostowe postępy
resource allocations	alocări de resurse	allocations de ressources	Ressourcenzuweisungen	asignaciones de recursos	alocações de recursos	allocazioni di risorse	alokacje zasobów
false alarms	alarme false	fausses alertes	Fehlalarme	falsas alarmas	alarmes falsos	falsi allarmi	fałszywe alarmy
independent audit	audit independent	audit indépendant	unabhängige Prüfung	auditoría independiente	auditoria independente	verifica indipendente	niezależny audyt
weighted estimation	estimare ponderată	estimation pondérée	gewichtete Schätzung	estimación ponderada	estimação ponderada	stima ponderata	estymacja ważona
systematic blind spot	punct orb sistematic	angle mort systématique	systematischer blinder Fleck	punto ciego sistemático	ponto cego sistemático	punto cieco sistematico	systematyczny martwy punkt
homogenization	omogenizare	homogénéisation	Homogenisierung	homogeneización	homogeneização	omogeneizzazione	homogenizacja
automatic rejection	respingere automată	rejet automatique	automatische Ablehnung	rechazo automático	rejeição automática	rifiuto automatico	automatyczne odrzucenie
executable checks	verificări executabile	vérifications exécutables	ausführbare Prüfungen	comprobaciones ejecutables	verificações executáveis	verifiche eseguibili	wykonywalne kontrole
relative novelty	noutate relativă	nouveauté relative	relative Neuheit	novedad relativa	novidade relativa	novità relativa	względna nowość
familiarity bias	bias de familiaritate	biais de familiarité	Vertrautheitsverzerrung	sesgo de familiaridad	viés de familiaridade	distorsione da familiarità	efekt znajomości
