en	ro	fr	de	es	pt	it	pl
visible necessity	necesitate vizibilă	nécessité visible	sichtbare Notwendigkeit	necesidad visible	necessidade visível	necessità visibile	widoczna konieczność
correctness	corectitudine	correction	Korrektheit	corrección	correção	correttezza	poprawność
compact theory	teorie compactă	théorie compacte	kompakte Theorie	teoría compacta	teoria compacta	teoria compatta	zwarta teoria
limited approximation	aproximare limitată	approximation limitée	begrenzte Näherung	aproximación limitada	aproximação limitada	approssimazione limitata	ograniczone przybliżenie
universal claim	afirmație universală	affirmation universelle	universeller Anspruch	afirmación universal	afirmação universal	affermazione universale	twierdzenie uniwersalne
cynical unmasking	demascare cinică	démasquage cynique	zynische Entlarvung	desenmascaramiento cínico	desmascaramento cínico	smascheramento cinico	cyniczne demaskowanie
professional evaluations	evaluări profesionale	évaluations professionnelles	berufliche Bewertungen	evaluaciones profesionales	avaliações profissionais	valutazioni professionali	oceny zawodowe
unequal opportunities	oportunități inegale	inégalité des chances	ungleiche Chancen	oportunidades desiguales	oportunidades desiguais	opportunità diseguali	nierówne szanse
prejudice	prejudecată	préjugé	Vorurteil	prejuicio	preconceito	pregiudizio	uprzedzenie
personal worth	valoare personală	valeur personnelle	persönlicher Wert	valía personal	valor pessoal	valore personale	wartość osobista
recommendation	recomandare	recommandation	Empfehlung	recomendación	recomendação	raccomandazione	rekomendacja
authorship information	informații despre autor	informations sur l'auteur	Informationen zur Urheberschaft	información de autoría	informação de autoria	informazioni sull'autore	informacje o autorstwie
neural response	răspuns neuronal	réponse neuronale	neuronale Reaktion	respuesta neuronal	resposta neuronal	risposta neurale	reakcja neuronalna
observational association	asociere observațională	association observationnelle	beobachteter Zusammenhang	asociación observacional	associação observacional	associazione osservazionale	związek obserwacyjny
measurement limits	limite de măsurare	limites de mesure	Messgrenzen	límites de medición	limites de medição	limiti di misurazione	ograniczenia pomiaru
computational mechanism	mecanism computațional	mécanisme computationnel	rechnerischer Mechanismus	mecanismo computacional	mecanismo computacional	meccanismo computazionale	mechanizm obliczeniowy
practical elegance	eleganță practică	élégance pratique	praktische Eleganz	elegancia práctica	elegância prática	eleganza pratica	elegancja praktyczna
clean interface	interfață simplă	interface épurée	übersichtliche Benutzeroberfläche	interfaz despejada	interface limpa	interfaccia essenziale	przejrzysty interfejs
redundancy	redundanță	redondance	Redundanz	redundancia	redundância	ridondanza	redundancja
rare failures	defecțiuni rare	défaillances rares	seltene Ausfälle	fallos poco frecuentes	falhas raras	guasti rari	rzadkie awarie
repairable joints	îmbinări reparabile	assemblages réparables	reparierbare Verbindungen	uniones reparables	uniões reparáveis	giunzioni riparabili	naprawialne połączenia
bodily fit	adecvare corporală	adaptation corporelle	körperliche Passung	adecuación corporal	adequação corporal	adeguatezza corporea	dopasowanie do ciała
access rules	reguli de acces	règles d'accès	Zugangsregeln	reglas de acceso	regras de acesso	regole di accesso	zasady dostępu
ecological value	valoare ecologică	valeur écologique	ökologischer Wert	valor ecológico	valor ecológico	valore ecologico	wartość ekologiczna
spiritual experience	experiență spirituală	expérience spirituelle	spirituelle Erfahrung	experiencia espiritual	experiência espiritual	esperienza spirituale	doświadczenie duchowe
cosmic order	ordine cosmică	ordre cosmique	kosmische Ordnung	orden cósmico	ordem cósmica	ordine cosmico	porządek kosmiczny
comparative advantage	avantaj comparativ	avantage comparatif	komparativer Vorteil	ventaja comparativa	vantagem comparativa	vantaggio comparato	przewaga komparatywna
positional race	cursă pozițională	course positionnelle	Positionswettlauf	carrera posicional	corrida posicional	corsa posizionale	wyścig pozycyjny
public beauty	frumusețe publică	beauté publique	öffentliche Schönheit	belleza pública	beleza pública	bellezza pubblica	piękno publiczne
commercial failure	eșec comercial	échec commercial	kommerzieller Misserfolg	fracaso comercial	fracasso comercial	insuccesso commerciale	porażka komercyjna
polished apology	scuză rafinată	excuse soignée	geschliffene Entschuldigung	disculpa pulida	pedido de desculpas polido	scusa raffinata	wygładzone przeprosiny
moral information	informație morală	information morale	moralische Information	información moral	informação moral	informazione morale	informacja moralna
aesthetic test	test estetic	test esthétique	ästhetischer Test	prueba estética	teste estético	test estetico	test estetyczny
chosen risk	risc ales	risque choisi	gewähltes Risiko	riesgo elegido	risco escolhido	rischio scelto	wybrane ryzyko
value conflicts	conflicte de valori	conflits de valeurs	Wertekonflikte	conflictos de valores	conflitos de valores	conflitti di valori	konflikty wartości
stylization	stilizare	stylisation	Stilisierung	estilización	estilização	stilizzazione	stylizacja
empirical testing	testare empirică	test empirique	empirische Prüfung	comprobación empírica	teste empírico	verifica empirica	testowanie empiryczne
representational insight	înțelegere prin reprezentare	compréhension représentationnelle	Einsicht durch Darstellung	comprensión representacional	compreensão representacional	comprensione rappresentazionale	wgląd reprezentacyjny
seductive fluency	fluență seducătoare	fluidité séduisante	verführerische Gewandtheit	fluidez seductora	fluência sedutora	fluidità seducente	uwodzicielska płynność
cruel intelligence	inteligență crudă	intelligence cruelle	grausame Intelligenz	inteligencia cruel	inteligência cruel	intelligenza crudele	okrutna inteligencja
cultural passport	pașaport cultural	passeport culturel	kultureller Pass	pasaporte cultural	passaporte cultural	passaporto culturale	paszport kulturowy
patina	patină	patine	Patina	pátina	pátina	patina	patyna
deliberate artifice	artificiu deliberat	artifice délibéré	bewusste Künstlichkeit	artificio deliberado	artifício deliberado	artificio deliberato	celowy kunszt
reciprocal desire	dorință reciprocă	désir réciproque	gegenseitiges Begehren	deseo recíproco	desejo recíproco	desiderio reciproco	wzajemne pragnienie
makeup	machiaj	maquillage	Make-up	maquillaje	maquilhagem	trucco	makijaż
maintenance	întreținere	entretien	Instandhaltung	mantenimiento	manutenção	manutenzione	utrzymanie
