en	ro	fr	de	es	pt	it	pl
mechanical explanations	explicații mecanice	explications mécaniques	mechanische Erklärungen	explicaciones mecánicas	explicações mecânicas	spiegazioni meccaniche	wyjaśnienia mechaniczne
practical choice	alegere practică	choix pratique	praktische Entscheidung	elección práctica	escolha prática	scelta pratica	wybór praktyczny
binary arithmetic	aritmetică binară	arithmétique binaire	binäre Arithmetik	aritmética binaria	aritmética binária	aritmetica binaria	arytmetyka binarna
theological symbolism	simbolism teologic	symbolisme théologique	theologische Symbolik	simbolismo teológico	simbolismo teológico	simbolismo teologico	symbolika teologiczna
astrological culture	cultură astrologică	culture astrologique	astrologische Kultur	cultura astrológica	cultura astrológica	cultura astrologica	kultura astrologiczna
coercion	constrângere	coercition	Zwang	coacción	coerção	coercizione	przymus
divine harmony	armonie divină	harmonie divine	göttliche Harmonie	armonía divina	harmonia divina	armonia divina	boska harmonia
scientific durability	durabilitate științifică	pérennité scientifique	wissenschaftliche Beständigkeit	perdurabilidad científica	durabilidade científica	durata scientifica	trwałość naukowa
scriptural interpretation	interpretare scripturală	interprétation des Écritures	Schriftauslegung	interpretación de las Escrituras	interpretação das Escrituras	interpretazione delle Scritture	interpretacja Pisma
scientific hypotheses	ipoteze științifice	hypothèses scientifiques	wissenschaftliche Hypothesen	hipótesis científicas	hipóteses científicas	ipotesi scientifiche	hipotezy naukowe
religious biography	biografie religioasă	biographie religieuse	religiöse Biografie	biografía religiosa	biografia religiosa	biografia religiosa	biografia religijna
spiritualist phenomena	fenomene spiritiste	phénomènes spirites	spiritistische Phänomene	fenómenos espiritistas	fenómenos espíritas	fenomeni spiritici	zjawiska spirytystyczne
independent replication	replicare independentă	réplication indépendante	unabhängige Replikation	replicación independiente	replicação independente	replicazione indipendente	niezależna replikacja
quantum physics	fizică cuantică	physique quantique	Quantenphysik	física cuántica	física quântica	fisica quantistica	fizyka kwantowa
human mind	minte umană	esprit humain	menschlicher Geist	mente humana	mente humana	mente umana	umysł ludzki
randomness	aleatoriu	caractère aléatoire	Zufälligkeit	aleatoriedad	aleatoriedade	casualità	losowość
complementarity	complementaritate	complémentarité	Komplementarität	complementariedad	complementaridade	complementarità	komplementarność
contradictions	contradicții	contradictions	Widersprüche	contradicciones	contradições	contraddizioni	sprzeczności
divine mind	minte divină	esprit divin	göttlicher Geist	mente divina	mente divina	mente divina	umysł boski
exclusion principle	principiu de excluziune	principe d'exclusion	Ausschlussprinzip	principio de exclusión	princípio de exclusão	principio di esclusione	zasada wykluczania
nondual reflections	reflecții nonduale	réflexions non duelles	nichtduale Reflexionen	reflexiones no duales	reflexões não duais	riflessioni non duali	refleksje niedualne
archival original	original de arhivă	original d'archive	Archivoriginal	original de archivo	original de arquivo	originale d'archivio	oryginał archiwalny
experimental independence	independență experimentală	indépendance expérimentale	experimentelle Unabhängigkeit	independencia experimental	independência experimental	indipendenza sperimentale	niezależność eksperymentalna
metaphysical prejudice	prejudecată metafizică	préjugé métaphysique	metaphysisches Vorurteil	prejuicio metafísico	preconceito metafísico	pregiudizio metafisico	uprzedzenie metafizyczne
life’s origin	originea vieții	origine de la vie	Ursprung des Lebens	origen de la vida	origem da vida	origine della vita	pochodzenie życia
worldview	viziune asupra lumii	vision du monde	Weltanschauung	cosmovisión	visão do mundo	visione del mondo	światopogląd
paraphrase	parafrază	paraphrase	Paraphrase	paráfrasis	paráfrase	parafrasi	parafraza
independent testimony	mărturie independentă	témoignage indépendant	unabhängiges Zeugnis	testimonio independiente	testemunho independente	testimonianza indipendente	niezależne świadectwo
evidential status	statut probatoriu	statut probant	Beweisstatus	estatus probatorio	estatuto probatório	status probatorio	status dowodowy
methodological naturalism	naturalism metodologic	naturalisme méthodologique	methodologischer Naturalismus	naturalismo metodológico	naturalismo metodológico	naturalismo metodologico	naturalizm metodologiczny
metaphysical naturalism	naturalism metafizic	naturalisme métaphysique	metaphysischer Naturalismus	naturalismo metafísico	naturalismo metafísico	naturalismo metafisico	naturalizm metafizyczny
physicalism	fizicalism	physicalisme	Physikalismus	fisicalismo	fisicalismo	fisicalismo	fizykalizm
fine-tuning arguments	argumente ale reglajului fin	arguments du réglage fin	Feinabstimmungsargumente	argumentos del ajuste fino	argumentos do ajuste fino	argomenti della regolazione fine	argumenty z precyzyjnego dostrojenia
divine hiddenness	ascundere divină	cachéité divine	göttliche Verborgenheit	ocultamiento divino	ocultamento divino	nascondimento divino	ukrycie Boga
logical possibility	posibilitate logică	possibilité logique	logische Möglichkeit	posibilidad lógica	possibilidade lógica	possibilità logica	możliwość logiczna
supernatural cause	cauză supranaturală	cause surnaturelle	übernatürliche Ursache	causa sobrenatural	causa sobrenatural	causa soprannaturale	przyczyna nadprzyrodzona
moral obligations	obligații morale	obligations morales	moralische Pflichten	obligaciones morales	obrigações morais	obblighi morali	obowiązki moralne
antireligious certainty	certitudine antireligioasă	certitude antireligieuse	antireligiöse Gewissheit	certeza antirreligiosa	certeza antirreligiosa	certezza antireligiosa	pewność antyreligijna
dogmatism	dogmatism	dogmatisme	Dogmatismus	dogmatismo	dogmatismo	dogmatismo	dogmatyzm
immaterial substance	substanță imaterială	substance immatérielle	immaterielle Substanz	sustancia inmaterial	substância imaterial	sostanza immateriale	substancja niematerialna
psychological origins	origini psihologice	origines psychologiques	psychologische Ursprünge	orígenes psicológicos	origens psicológicas	origini psicologiche	źródła psychologiczne
missing evidence	dovezi absente	preuves manquantes	fehlende Belege	pruebas ausentes	provas ausentes	prove mancanti	brakujące dowody
detectable traces	urme detectabile	traces détectables	nachweisbare Spuren	rastros detectables	vestígios detetáveis	tracce rilevabili	wykrywalne ślady
spiritual experience	experiență spirituală	expérience spirituelle	spirituelle Erfahrung	experiencia espiritual	experiência espiritual	esperienza spirituale	doświadczenie duchowe
sincere testimony	mărturie sinceră	témoignage sincère	aufrichtiges Zeugnis	testimonio sincero	testemunho sincero	testimonianza sincera	szczere świadectwo
neural basis	bază neuronală	base neuronale	neuronale Grundlage	base neuronal	base neuronal	base neurale	podłoże neuronalne
incompatible doctrines	doctrine incompatibile	doctrines incompatibles	unvereinbare Lehren	doctrinas incompatibles	doutrinas incompatíveis	dottrine incompatibili	sprzeczne doktryny
cosmological claim	afirmație cosmologică	affirmation cosmologique	kosmologische Behauptung	afirmación cosmológica	afirmação cosmológica	affermazione cosmologica	twierdzenie kosmologiczne
public authority	autoritate publică	autorité publique	öffentliche Autorität	autoridad pública	autoridade pública	autorità pubblica	autorytet publiczny
compulsory education	educație obligatorie	enseignement obligatoire	Schulpflicht	educación obligatoria	ensino obrigatório	istruzione obbligatoria	obowiązek szkolny
observable performance	performanță observabilă	performance observable	beobachtbare Leistung	rendimiento observable	desempenho observável	prestazione osservabile	obserwowalne osiągnięcia
robust anomalies	anomalii robuste	anomalies robustes	robuste Anomalien	anomalías robustas	anomalias robustas	anomalie robuste	dobrze potwierdzone anomalie
causal influence	influență cauzală	influence causale	kausaler Einfluss	influencia causal	influência causal	influenza causale	wpływ przyczynowy
curriculum effects	efecte curriculare	effets des programmes	Lehrplaneffekte	efectos curriculares	efeitos curriculares	effetti curricolari	skutki programu nauczania
covert coordination	coordonare ascunsă	coordination clandestine	verdeckte Koordination	coordinación encubierta	coordenação encoberta	coordinamento occulto	ukryta koordynacja
institutional conflicts	conflicte instituționale	conflits institutionnels	institutionelle Konflikte	conflictos institucionales	conflitos institucionais	conflitti istituzionali	konflikty instytucjonalne
curriculum audit	audit curricular	audit des programmes	Lehrplanprüfung	auditoría curricular	auditoria curricular	verifica curricolare	audyt programu nauczania
empirical explanations	explicații empirice	explications empiriques	empirische Erklärungen	explicaciones empíricas	explicações empíricas	spiegazioni empiriche	wyjaśnienia empiryczne
metaphysical assertions	afirmații metafizice	affirmations métaphysiques	metaphysische Behauptungen	afirmaciones metafísicas	afirmações metafísicas	affermazioni metafisiche	twierdzenia metafizyczne
citation accuracy	acuratețea citării	exactitude des citations	Zitiergenauigkeit	exactitud de las citas	exatidão das citações	accuratezza delle citazioni	dokładność cytowania
invalid inferences	inferențe nevalide	inférences invalides	ungültige Schlussfolgerungen	inferencias inválidas	inferências inválidas	inferenze invalide	niepoprawne wnioskowania
institutional neutrality	neutralitate instituțională	neutralité institutionnelle	institutionelle Neutralität	neutralidad institucional	neutralidade institucional	neutralità istituzionale	neutralność instytucjonalna
truthfulness	veridicitate	véracité	Wahrhaftigkeit	veracidad	veracidade	veridicità	prawdomówność
noncoercion	absența constrângerii	non-coercition	Zwangsfreiheit	ausencia de coacción	ausência de coerção	assenza di coercizione	brak przymusu
normative commitments	angajamente normative	engagements normatifs	normative Verpflichtungen	compromisos normativos	compromissos normativos	impegni normativi	zobowiązania normatywne
ultimate reality	realitate ultimă	réalité ultime	letztgültige Wirklichkeit	realidad última	realidade última	realtà ultima	rzeczywistość ostateczna
freedom of conscience	libertate de conștiință	liberté de conscience	Gewissensfreiheit	libertad de conciencia	liberdade de consciência	libertà di coscienza	wolność sumienia
false equivalence	falsă echivalență	fausse équivalence	falsche Gleichsetzung	falsa equivalencia	falsa equivalência	falsa equivalenza	fałszywa równoważność
bounded expertise	expertiză delimitată	expertise délimitée	begrenzte Fachkompetenz	competencia delimitada	competência delimitada	competenza delimitata	ograniczona wiedza ekspercka
religious denomination	confesiune religioasă	confession religieuse	religiöse Konfession	confesión religiosa	confissão religiosa	confessione religiosa	wyznanie religijne
