moral luck|noroc moral|fortune morale|moralisches Glück|suerte moral|sorte moral|fortuna morale|traf moralny
moral purity|puritate morală|pureté morale|moralische Reinheit|pureza moral|pureza moral|purezza morale|czystość moralna
housing research|cercetarea locuirii|recherche sur le logement|Wohnungsforschung|investigación sobre vivienda|pesquisa sobre habitação|ricerca sull'abitare|badania mieszkalnictwa
thought experiment|experiment de gândire|expérience de pensée|Gedankenexperiment|experimento mental|experimento mental|esperimento mentale|eksperyment myślowy
distance|distanță|distance|Distanz|distancia|distância|distanza|dystans
suffering|suferință|souffrance|Leid|sufrimiento|sofrimento|sofferenza|cierpienie
promise|promisiune|promesse|Versprechen|promesa|promessa|promessa|obietnica
generosity|generozitate|générosité|Großzügigkeit|generosidad|generosidade|generosità|hojność
special relationships|relații speciale|relations particulières|besondere Beziehungen|relaciones especiales|relações especiais|relazioni speciali|szczególne relacje
autonomy|autonomie|autonomie|Autonomie|autonomía|autonomia|autonomia|autonomia
recipients|beneficiari ai ajutorului|bénéficiaires de l'aide|Hilfsempfänger|receptores de ayuda|destinatários da ajuda|destinatari dell'aiuto|odbiorcy pomocy
dignity|demnitate|dignité|Würde|dignidad|dignidade|dignità|godność
institutions|instituții|institutions|Institutionen|instituciones|instituições|istituzioni|instytucje
uncertainty|incertitudine|incertitude|Ungewissheit|incertidumbre|incerteza|incertezza|niepewność
competence|competență|compétence|Kompetenz|competencia|competência|competenza|kompetencja
reporting|raportarea problemelor|signalement|Meldung von Problemen|notificación de problemas|comunicação de problemas|segnalazione|zgłaszanie problemów
investigation|investigare|enquête|Untersuchung|investigación|investigação|indagine|dochodzenie
heroism|eroism|héroïsme|Heldentum|heroísmo|heroísmo|eroismo|heroizm
coordination|coordonare|coordination|Koordination|coordinación|coordenação|coordinamento|koordynacja
bystanders|martori ai incidentelor|témoins d'incidents|Zuschauer bei Vorfällen|testigos de incidentes|testemunhas de incidentes|testimoni di incidenti|świadkowie zdarzeń
solidarity|solidaritate|solidarité|Solidarität|solidaridad|solidariedade|solidarietà|solidarność
abuse|abuz|abus|Missbrauch|abuso|abuso|abuso|nadużycie
citizenship|cetățenie|citoyenneté|Bürgerschaft|ciudadanía|cidadania|cittadinanza|obywatelstwo
exclusion|excludere|exclusion|Ausgrenzung|exclusión|exclusão|esclusione|wykluczenie
researchers|cercetători|chercheurs|Forschende|investigadores|pesquisadores|ricercatori|badacze
experts|experți|experts|Fachleute|expertos|especialistas|esperti|eksperci
automated decisions|decizii automatizate|décisions automatisées|automatisierte Entscheidungen|decisiones automatizadas|decisões automatizadas|decisioni automatizzate|decyzje zautomatyzowane
oversight|supraveghere|supervision|Aufsicht|supervisión|supervisão|supervisione|nadzór
information|informație|information|Information|información|informação|informazione|informacja
power|putere|pouvoir|Macht|poder|poder|potere|władza
correction|corectare|correction|Korrektur|corrección|correção|correzione|korekta
testimony|mărturie|témoignage|Zeugenaussage|testimonio|testemunho|testimonianza|świadectwo
deity|divinitate|divinité|Gottheit|divinidad|divindade|divinità|bóstwo
divine-command|poruncă divină|commandement divin|göttliches Gebot|mandato divino|mandamento divino|comando divino|boski nakaz
goodness|bunătate|bonté|Güte|bondad|bondade|bontà|dobroć
omnipotent|atotputernic|omnipotent|allmächtig|omnipotente|onipotente|onnipotente|wszechmocny
creator|creator|créateur|Schöpfer|creador|criador|creatore|stwórca
freedom|libertate|liberté|Freiheit|libertad|liberdade|libertà|wolność
stable laws|legi stabile|lois stables|stabile Gesetze|leyes estables|leis estáveis|leggi stabili|stabilne prawa
moral development|dezvoltare morală|développement moral|moralische Entwicklung|desarrollo moral|desenvolvimento moral|sviluppo morale|rozwój moralny
providence|providență|providence|Vorsehung|providencia|providência|provvidenza|opatrzność
Job|Iov|Job|Hiob|Job|Jó|Giobbe|Hiob
forgiveness|iertare|pardon|Vergebung|perdón|perdão|perdono|przebaczenie
punishment|pedeapsă|punition|Strafe|castigo|punição|punizione|kara
reparation|reparație morală|réparation du préjudice|Wiedergutmachung|reparación del daño|reparação do dano|riparazione del danno|zadośćuczynienie
apologies|scuze|excuses|Entschuldigungen|disculpas|pedidos de desculpas|scuse|przeprosiny
victims|victime|victimes|Opfer|víctimas|vítimas|vittime|ofiary
incentives|stimulente|incitations|Anreize|incentivos|incentivos|incentivi|bodźce
learning|învățare|apprentissage|Lernen|aprendizaje|aprendizagem|apprendimento|uczenie się
private life|viață privată|vie privée|Privatleben|vida privada|vida privada|vita privata|życie prywatne
vulnerability|vulnerabilitate|vulnérabilité|Verletzlichkeit|vulnerabilidad|vulnerabilidade|vulnerabilità|podatność na krzywdę
