en	ro	fr	de	es	pt	it	pl
review queues	cozi de revizuire	files d'attente de révision	Prüfwarteschlangen	colas de revisión	filas de revisão	code di revisione	kolejki do przeglądu
human control	control uman	contrôle humain	menschliche Kontrolle	control humano	controlo humano	controllo umano	kontrola człowieka
judgment	judecată	jugement	Urteilsvermögen	juicio	discernimento	giudizio	osąd
mentoring	mentorat	mentorat	Mentoring	mentoría	mentoria	mentoring	mentoring
fatigue	oboseală	fatigue	Ermüdung	fatiga	fadiga	affaticamento	zmęczenie
generator	generator	générateur	Generator	generador	gerador	generatore	generator
evaluators	evaluatori	évaluateurs	Bewertungsinstanzen	evaluadores	avaliadores	valutatori	oceniający
acceptance rule	regulă de acceptare	règle d'acceptation	Akzeptanzregel	regla de aceptación	regra de aceitação	regola di accettazione	reguła akceptacji
calibration	calibrare	calibration	Kalibrierung	calibración	calibração	calibrazione	kalibracja
verification dossier	dosar de verificare	dossier de vérification	Verifikationsdossier	expediente de verificación	dossiê de verificação	dossier di verifica	dokumentacja weryfikacyjna
inference	inferență	inférence	Schlussfolgerung	inferencia	inferência	inferenza	wnioskowanie
calculations	calcule	calculs	Berechnungen	cálculos	cálculos	calcoli	obliczenia
completeness	completitudine	complétude	Vollständigkeit	exhaustividad	completude	completezza	kompletność
adverse effects	efecte adverse	effets indésirables	nachteilige Auswirkungen	efectos adversos	efeitos adversos	effetti avversi	skutki niepożądane
contradictions	contradicții	contradictions	Widersprüche	contradicciones	contradições	contraddizioni	sprzeczności
provenance	proveniență	provenance	Provenienz	procedencia	proveniência	provenienza	pochodzenie
confidential material	material confidențial	documents confidentiels	vertrauliches Material	material confidencial	material confidencial	materiale riservato	materiały poufne
property-based tests	teste bazate pe proprietăți	tests fondés sur les propriétés	eigenschaftsbasierte Tests	pruebas basadas en propiedades	testes baseados em propriedades	test basati sulle proprietà	testy oparte na właściwościach
counterexamples	contraexemple	contre-exemples	Gegenbeispiele	contraejemplos	contraexemplos	controesempi	kontrprzykłady
invariants	invarianți	invariants	Invarianten	invariantes	invariantes	invarianti	niezmienniki
reference implementation	implementare de referință	implémentation de référence	Referenzimplementierung	implementación de referencia	implementação de referência	implementazione di riferimento	implementacja referencyjna
acceptance tests	teste de acceptare	tests d'acceptation	Abnahmetests	pruebas de aceptación	testes de aceitação	test di accettazione	testy akceptacyjne
permissions	permisiuni	autorisations	Berechtigungen	permisos	permissões	permessi	uprawnienia
isolation	izolare	isolation	Isolation	aislamiento	isolamento	isolamento	izolacja
relevant distributions	distribuții relevante	distributions pertinentes	relevante Verteilungen	distribuciones pertinentes	distribuições relevantes	distribuzioni pertinenti	odpowiednie rozkłady
monitoring	monitorizare	suivi	Monitoring	monitorización	monitorização	monitoraggio	monitorowanie
rollback	revenire la versiunea anterioară	retour à la version précédente	Rücknahme einer Änderung	reversión a la versión anterior	reversão à versão anterior	ripristino della versione precedente	przywrócenie poprzedniej wersji
formalization	formalizare	formalisation	Formalisierung	formalización	formalização	formalizzazione	formalizacja
axioms	axiome	axiomes	Axiome	axiomas	axiomas	assiomi	aksjomaty
fairness	echitate	équité	Fairness	equidad	equidade	equità	sprawiedliwość
statistical testing	testare statistică	tests statistiques	statistische Prüfung	pruebas estadísticas	testes estatísticos	verifica statistica	testowanie statystyczne
independence	independență	indépendance	Unabhängigkeit	independencia	independência	indipendenza	niezależność
detectability	detectabilitate	détectabilité	Erkennbarkeit	detectabilidad	detetabilidade	rilevabilità	wykrywalność
reversibility	reversibilitate	réversibilité	Reversibilität	reversibilidad	reversibilidade	reversibilità	odwracalność
abstention	abținere	abstention	Enthaltung	abstención	abstenção	astensione	wstrzymanie się
autonomy	autonomie	autonomie	Autonomie	autonomía	autonomia	autonomia	autonomia
partial verification	verificare parțială	vérification partielle	Teilprüfung	verificación parcial	verificação parcial	verifica parziale	częściowa weryfikacja
helpful friction	fricțiune utilă	friction utile	hilfreiche Reibung	fricción útil	fricção útil	attrito utile	pomocny opór
personalized confirmation	confirmare personalizată	confirmation personnalisée	personalisierte Bestätigung	confirmación personalizada	confirmação personalizada	conferma personalizzata	spersonalizowane potwierdzenie
