en	ro	fr	de	es	pt	it	pl
women’s exclusion	excluderea femeilor	exclusion des femmes	Ausschluss von Frauen	exclusión de las mujeres	exclusão das mulheres	esclusione delle donne	wykluczenie kobiet
inferiority	inferioritate	infériorité	Unterlegenheit	inferioridad	inferioridade	inferiorità	niższość
equal standing	statut egal	statut égal	gleiche Stellung	igual condición	estatuto igual	pari condizione	równy status
economic dependence	dependență economică	dépendance économique	wirtschaftliche Abhängigkeit	dependencia económica	dependência económica	dipendenza economica	zależność ekonomiczna
collective property	proprietate colectivă	propriété collective	Kollektiveigentum	propiedad colectiva	propriedade coletiva	proprietà collettiva	własność zbiorowa
formal equality	egalitate formală	égalité formelle	formale Gleichheit	igualdad formal	igualdade formal	uguaglianza formale	równość formalna
financial mistake	greșeală financiară	erreur financière	finanzieller Fehler	error financiero	erro financeiro	errore finanziario	błąd finansowy
scarcity	penurie	rareté	Knappheit	escasez	escassez	scarsità	niedobór
discrimination	discriminare	discrimination	Diskriminierung	discriminación	discriminação	discriminazione	dyskryminacja
residential opportunity	oportunitate rezidențială	possibilité résidentielle	Wohnmöglichkeiten	oportunidad residencial	oportunidade residencial	opportunità residenziale	możliwości mieszkaniowe
psychology of poverty	psihologia sărăciei	psychologie de la pauvreté	Psychologie der Armut	psicología de la pobreza	psicologia da pobreza	psicologia della povertà	psychologia ubóstwa
experimental designs	planuri experimentale	plans expérimentaux	Versuchspläne	diseños experimentales	desenhos experimentais	disegni sperimentali	schematy eksperymentalne
social explanation	explicație socială	explication sociale	soziale Erklärung	explicación social	explicação social	spiegazione sociale	wyjaśnienie społeczne
usable exit	ieșire practicabilă	sortie effective	nutzbare Ausstiegsmöglichkeit	salida practicable	saída praticável	uscita praticabile	realna możliwość wyjścia
heroic disobedience	nesupunere eroică	désobéissance héroïque	heroischer Ungehorsam	desobediencia heroica	desobediência heroica	disobbedienza eroica	heroiczne nieposłuszeństwo
public speech	exprimare publică	parole publique	öffentliche Rede	expresión pública	expressão pública	espressione pubblica	wypowiedź publiczna
personal danger	pericol personal	danger personnel	persönliche Gefahr	peligro personal	perigo pessoal	pericolo personale	osobiste zagrożenie
determinism	determinism	déterminisme	Determinismus	determinismo	determinismo	determinismo	determinizm
fatalism	fatalism	fatalisme	Fatalismus	fatalismo	fatalismo	fatalismo	fatalizm
randomness	aleatoriu	caractère aléatoire	Zufälligkeit	aleatoriedad	aleatoriedade	casualità	losowość
deliberation	deliberare	délibération	Abwägung	deliberación	deliberação	deliberazione	namysł
ultimate responsibility	responsabilitate ultimă	responsabilité ultime	letztgültige Verantwortung	responsabilidad última	responsabilidade última	responsabilità ultima	odpowiedzialność ostateczna
self-creation	autocreare	autocréation	Selbsterschaffung	autocreación	autocriação	autocreazione	samostworzenie
moral blame	blam moral	blâme moral	moralischer Tadel	reproche moral	censura moral	biasimo morale	wina moralna
legal liability	răspundere juridică	responsabilité juridique	rechtliche Haftung	responsabilidad jurídica	responsabilidade jurídica	responsabilità giuridica	odpowiedzialność prawna
duty to rescue	obligație de salvare	devoir de secours	Rettungspflicht	deber de socorro	dever de socorro	dovere di soccorso	obowiązek ratowania
retrospective judgment	judecată retrospectivă	jugement rétrospectif	rückblickendes Urteil	juicio retrospectivo	juízo retrospetivo	giudizio retrospettivo	ocena retrospektywna
foreseeable risk	risc previzibil	risque prévisible	vorhersehbares Risiko	riesgo previsible	risco previsível	rischio prevedibile	przewidywalne ryzyko
deliberate ignorance	ignoranță deliberată	ignorance délibérée	bewusste Unwissenheit	ignorancia deliberada	ignorância deliberada	ignoranza deliberata	świadoma niewiedza
prospective duties	obligații prospective	devoirs prospectifs	zukunftsgerichtete Pflichten	deberes prospectivos	deveres prospetivos	doveri prospettici	obowiązki prospektywne
capacity to repair	capacitate de reparare	capacité de réparation	Fähigkeit zur Wiedergutmachung	capacidad de reparación	capacidade de reparação	capacità di riparazione	zdolność naprawienia szkody
preventable suffering	suferință prevenibilă	souffrance évitable	vermeidbares Leid	sufrimiento evitable	sofrimento evitável	sofferenza evitabile	cierpienie możliwe do uniknięcia
free will	liber-arbitru	libre arbitre	freier Wille	libre albedrío	livre-arbítrio	libero arbitrio	wolna wola
natural laws	legi naturale	lois naturelles	Naturgesetze	leyes naturales	leis naturais	leggi naturali	prawa przyrody
compensation	compensație	compensation	Entschädigung	compensación	compensação	compensazione	rekompensata
moral education	educație morală	éducation morale	moralische Erziehung	educación moral	educação moral	educazione morale	wychowanie moralne
human inaction	inacțiune umană	inaction humaine	menschliche Untätigkeit	inacción humana	inação humana	inazione umana	ludzka bezczynność
obedience	ascultare	obéissance	Gehorsam	obediencia	obediência	obbedienza	posłuszeństwo
delayed-gratification experiments	experimente despre amânarea recompensei	expériences de gratification différée	Experimente zum Belohnungsaufschub	experimentos de gratificación diferida	experiências de gratificação adiada	esperimenti sulla gratificazione differita	eksperymenty z odraczaniem gratyfikacji
willpower	puterea voinței	force de volonté	Willenskraft	fuerza de voluntad	força de vontade	forza di volontà	siła woli
homelessness	lipsa locuinței	absence de logement	Obdachlosigkeit	sinhogarismo	situação de sem-abrigo	condizione di senza dimora	bezdomność
stable address	adresă stabilă	adresse stable	feste Anschrift	domicilio estable	morada estável	indirizzo stabile	stały adres
secure shelter	adăpost sigur	abri sûr	sichere Unterkunft	refugio seguro	abrigo seguro	riparo sicuro	bezpieczne schronienie
public gratitude	recunoștință publică	gratitude publique	öffentliche Dankbarkeit	gratitud pública	gratidão pública	gratitudine pubblica	publiczna wdzięczność
shared public space	spațiu public comun	espace public partagé	gemeinsamer öffentlicher Raum	espacio público compartido	espaço público partilhado	spazio pubblico condiviso	wspólna przestrzeń publiczna
communication difficulty	dificultate de comunicare	difficulté de communication	Kommunikationsschwierigkeit	dificultad de comunicación	dificuldade de comunicação	difficoltà di comunicazione	trudności komunikacyjne
decision support	sprijin pentru decizii	aide à la décision	Entscheidungsunterstützung	apoyo para decidir	apoio à decisão	sostegno decisionale	wsparcie w podejmowaniu decyzji
clinical knowledge	cunoaștere clinică	connaissances cliniques	klinisches Wissen	conocimiento clínico	conhecimento clínico	conoscenza clinica	wiedza kliniczna
moral agent	agent moral	agent moral	moralischer Akteur	agente moral	agente moral	agente morale	podmiot moralny
moral care	grijă morală	sollicitude morale	moralische Fürsorge	cuidado moral	cuidado moral	cura morale	troska moralna
reciprocity	reciprocitate	réciprocité	Gegenseitigkeit	reciprocidad	reciprocidade	reciprocità	wzajemność
carers	îngrijitori	aidants	Pflegende	cuidadores	cuidadores	persone assistenti	opiekunowie
protection of participants	protejarea participanților	protection des participants	Schutz der Teilnehmenden	protección de los participantes	proteção dos participantes	protezione dei partecipanti	ochrona uczestników
dangerous applications	aplicații periculoase	applications dangereuses	gefährliche Anwendungen	aplicaciones peligrosas	aplicações perigosas	applicazioni pericolose	niebezpieczne zastosowania
political authority	autoritate politică	autorité politique	politische Autorität	autoridad política	autoridade política	autorità politica	władza polityczna
family loyalty	loialitate familială	loyauté familiale	Familienloyalität	lealtad familiar	lealdade familiar	lealtà familiare	lojalność rodzinna
unequal burdens	poveri inegale	charges inégales	ungleiche Lasten	cargas desiguales	encargos desiguais	oneri diseguali	nierówne obciążenia
intelligent machines	mașini inteligente	machines intelligentes	intelligente Maschinen	máquinas inteligentes	máquinas inteligentes	macchine intelligenti	inteligentne maszyny
effective challenge	contestare efectivă	contestation effective	wirksame Anfechtung	impugnación efectiva	contestação efetiva	contestazione effettiva	skuteczne zakwestionowanie
privacy	viață privată	vie privée	Privatsphäre	privacidad	privacidade	riservatezza	prywatność
moral agency	capacitate de acțiune morală	capacité d'action morale	moralische Handlungsfähigkeit	capacidad de acción moral	capacidade de ação moral	capacità d'azione morale	sprawczość moralna
compulsory heroism	eroism obligatoriu	héroïsme obligatoire	erzwungener Heroismus	heroísmo obligatorio	heroísmo obrigatório	eroismo obbligatorio	przymusowy heroizm
emergency assistance	ajutor de urgență	aide d'urgence	Nothilfe	asistencia de emergencia	assistência de emergência	assistenza d'emergenza	pomoc w nagłych wypadkach
personal projects	proiecte personale	projets personnels	persönliche Vorhaben	proyectos personales	projetos pessoais	progetti personali	projekty osobiste
hidden care	grijă ascunsă	soin invisible	unsichtbare Fürsorge	cuidados ocultos	cuidados ocultos	cura nascosta	niewidoczna opieka
self-sufficiency	autosuficiență	autosuffisance	Selbstgenügsamkeit	autosuficiencia	autossuficiência	autosufficienza	samowystarczalność
sustainable responsibility	responsabilitate sustenabilă	responsabilité durable	nachhaltige Verantwortung	responsabilidad sostenible	responsabilidade sustentável	responsabilità sostenibile	odpowiedzialność możliwa do utrzymania
shared resources	resurse comune	ressources partagées	geteilte Ressourcen	recursos compartidos	recursos partilhados	risorse condivise	wspólne zasoby
practical realism	realism practic	réalisme pratique	praktischer Realismus	realismo práctico	realismo prático	realismo pratico	realizm praktyczny
social construction	construcție socială	construction sociale	soziales Konstrukt	construcción social	construção social	costruzione sociale	konstrukt społeczny
distributed responsibility	responsabilitate distribuită	responsabilité distribuée	verteilte Verantwortung	responsabilidad distribuida	responsabilidade distribuída	responsabilità distribuita	rozproszona odpowiedzialność
