en	ro	fr	de	es	pt	it	pl
governing-law clause	clauză privind legea aplicabilă	clause de droit applicable	Rechtswahlklausel	cláusula de ley aplicable	cláusula de lei aplicável	clausola sulla legge applicabile	klauzula prawa właściwego
noncontractual claim	pretenție extracontractuală	demande extracontractuelle	außervertraglicher Anspruch	reclamación extracontractual	pretensão extracontratual	pretesa extracontrattuale	roszczenie pozaumowne
international trademark application	cerere internațională de marcă	demande internationale de marque	internationale Markenanmeldung	solicitud internacional de marca	pedido internacional de marca	domanda internazionale di marchio	międzynarodowe zgłoszenie znaku towarowego
practical enforcement	aplicare efectivă a drepturilor	application effective des droits	praktische Rechtsdurchsetzung	aplicación efectiva de derechos	aplicação efetiva dos direitos	tutela effettiva dei diritti	praktyczne egzekwowanie praw
AI processing	prelucrare prin IA	traitement par IA	KI-Verarbeitung	procesamiento mediante IA	processamento por IA	elaborazione mediante IA	przetwarzanie przez AI
fine-tuning	ajustare fină	ajustement fin	Feinabstimmung	ajuste fino	ajuste fino	affinamento	dostrajanie
model parameters	parametrii modelului	paramètres du modèle	Modellparameter	parámetros del modelo	parâmetros do modelo	parametri del modello	parametry modelu
training material	material de antrenare	matériel d’entraînement	Trainingsmaterial	material de entrenamiento	material de treinamento	materiale di addestramento	materiał treningowy
generated output	rezultat generat	sortie générée	generierte Ausgabe	resultado generado	resultado gerado	risultato generato	wygenerowany wynik
unlawful acquisition	dobândire ilegală	acquisition illicite	rechtswidrige Beschaffung	obtención ilícita	obtenção ilícita	acquisizione illecita	bezprawne pozyskanie
data-flow map	hartă a fluxului de date	carte des flux de données	Datenflusskarte	mapa del flujo de datos	mapa do fluxo de dados	mappa dei flussi di dati	mapa przepływu danych
fair use	utilizare echitabilă	usage équitable	Fair Use	uso justo	uso justo	fair use	dozwolony użytek typu fair use
lawful access	acces legal	accès licite	rechtmäßiger Zugang	acceso lícito	acesso lícito	accesso lecito	legalny dostęp
compliance duties	obligații de conformitate	obligations de conformité	Compliance-Pflichten	obligaciones de cumplimiento	obrigações de conformidade	obblighi di conformità	obowiązki zgodności
voluntary codes	coduri voluntare	codes volontaires	freiwillige Kodizes	códigos voluntarios	códigos voluntários	codici volontari	dobrowolne kodeksy
statutory categories	categorii legale	catégories légales	gesetzliche Kategorien	categorías legales	categorias legais	categorie legislative	kategorie ustawowe
technical standard	standard tehnic	norme technique	technischer Standard	norma técnica	norma técnica	norma tecnica	norma techniczna
restricted reproduction	reproducere restricționată	reproduction restreinte	beschränkte Vervielfältigung	reproducción restringida	reprodução restrita	riproduzione soggetta a restrizioni	ograniczone zwielokrotnianie
public-domain original	original din domeniul public	original du domaine public	gemeinfreies Original	original de dominio público	original em domínio público	originale di pubblico dominio	oryginał w domenie publicznej
jurisdiction	jurisdicție	juridiction	Rechtsordnung	jurisdicción	jurisdição	giurisdizione	jurysdykcja
company registrations	înregistrări de societăți	immatriculations de sociétés	Unternehmensregistrierungen	registros de empresas	registros de empresas	registrazioni societarie	rejestracje spółek
evidence of use	dovezi de utilizare	preuves d’usage	Benutzungsnachweise	pruebas de uso	provas de uso	prove d’uso	dowody używania
compatibility claims	afirmații de compatibilitate	allégations de compatibilité	Kompatibilitätsbehauptungen	afirmaciones de compatibilidad	alegações de compatibilidade	dichiarazioni di compatibilità	twierdzenia o zgodności
impersonation	uzurparea identității	usurpation d’identité	Identitätsvortäuschung	suplantación de identidad	falsificação de identidade	sostituzione di persona	podszywanie się
editorial responsibility	responsabilitate editorială	responsabilité éditoriale	redaktionelle Verantwortung	responsabilidad editorial	responsabilidade editorial	responsabilità editoriale	odpowiedzialność redakcyjna
copyright review	verificarea drepturilor de autor	examen du droit d’auteur	Urheberrechtsprüfung	revisión de derechos de autor	revisão de direitos autorais	verifica del diritto d’autore	weryfikacja praw autorskich
attribution review	verificarea atribuirii	examen de l’attribution	Prüfung der Zuschreibung	revisión de atribución	revisão de atribuição	verifica dell’attribuzione	weryfikacja autorstwa i źródeł
factual review	verificare factuală	vérification factuelle	Faktenprüfung	verificación factual	verificação factual	verifica fattuale	weryfikacja faktów
scholarly dependence	dependență intelectuală academică	dépendance intellectuelle savante	wissenschaftliche Abhängigkeit	dependencia académica	dependência acadêmica	dipendenza accademica	zależność naukowa
software brand	marcă software	marque logicielle	Softwaremarke	marca de software	marca de software	marchio software	marka oprogramowania
standard algorithm	algoritm standard	algorithme standard	Standardalgorithmus	algoritmo estándar	algoritmo padrão	algoritmo standard	standardowy algorytm
behavioral equivalence	echivalență comportamentală	équivalence comportementale	Verhaltensäquivalenz	equivalencia de comportamiento	equivalência comportamental	equivalenza comportamentale	równoważność zachowania
legal independence	independență juridică	indépendance juridique	rechtliche Unabhängigkeit	independencia jurídica	independência jurídica	indipendenza giuridica	niezależność prawna
independent implementation	implementare independentă	implémentation indépendante	unabhängige Implementierung	implementación independiente	implementação independente	implementazione indipendente	niezależna implementacja
interoperability	interoperabilitate	interopérabilité	Interoperabilität	interoperabilidad	interoperabilidade	interoperabilità	interoperacyjność
clean-room separation	separare în cameră curată	séparation en salle blanche	Reinraumtrennung	separación de sala limpia	separação em sala limpa	separazione in camera pulita	separacja typu clean room
contractual limits	limite contractuale	limites contractuelles	vertragliche Grenzen	límites contractuales	limites contratuais	limiti contrattuali	ograniczenia umowne
proprietary code	cod proprietar	code propriétaire	proprietärer Code	código propietario	código proprietário	codice proprietario	kod własnościowy
open source	sursă deschisă	code source ouvert	Open Source	código abierto	código aberto	codice aperto	otwarte oprogramowanie
source obligations	obligații privind codul sursă	obligations relatives au code source	Quellcodepflichten	obligaciones sobre código fuente	obrigações sobre código-fonte	obblighi sul codice sorgente	obowiązki dotyczące kodu źródłowego
patent provisions	prevederi privind brevetele	dispositions sur les brevets	Patentbestimmungen	disposiciones sobre patentes	disposições sobre patentes	disposizioni sui brevetti	postanowienia patentowe
network-use conditions	condiții de utilizare în rețea	conditions d’usage en réseau	Netznutzungsbedingungen	condiciones de uso en red	condições de uso em rede	condizioni d’uso in rete	warunki użytkowania sieciowego
component inventory	inventar de componente	inventaire des composants	Komponenteninventar	inventario de componentes	inventário de componentes	inventario dei componenti	inwentarz komponentów
rights ledger	registru de drepturi	registre des droits	Rechteregister	registro de derechos	registro de direitos	registro dei diritti	rejestr praw
authorship	calitatea de autor	qualité d’auteur	Urheberschaft	autoría	autoria	paternità dell’opera	autorstwo
assignment	cesiune	cession	Rechteübertragung	cesión	cessão	cessione	przeniesienie praw
AI-assisted works	opere asistate de IA	œuvres assistées par IA	KI-unterstützte Werke	obras asistidas por IA	obras assistidas por IA	opere assistite dall’IA	utwory wspomagane przez AI
human creative contribution	contribuție creativă umană	contribution créative humaine	menschlicher kreativer Beitrag	contribución creativa humana	contribuição criativa humana	contributo creativo umano	ludzki wkład twórczy
output-ownership clause	clauză de proprietate asupra rezultatului	clause de propriété des sorties	Eigentumsklausel für Ausgaben	cláusula de propiedad del resultado	cláusula de propriedade do resultado	clausola di proprietà del risultato	klauzula własności wyniku
technical provenance	proveniență tehnică	provenance technique	technische Provenienz	procedencia técnica	proveniência técnica	provenienza tecnica	pochodzenie techniczne
hashes	valori hash	empreintes de hachage	Hashwerte	valores hash	valores hash	valori hash	skróty kryptograficzne
timestamps	mărci temporale	horodatages	Zeitstempel	marcas de tiempo	carimbos de data e hora	marche temporali	znaczniki czasu
signatures	semnături	signatures	Signaturen	firmas	assinaturas	firme	podpisy
rights-reservation signals	semnale de rezervare a drepturilor	signaux de réserve des droits	Signale zum Rechtevorbehalt	señales de reserva de derechos	sinais de reserva de direitos	segnali di riserva dei diritti	sygnały zastrzeżenia praw
crawler instructions	instrucțiuni pentru crawlere	instructions aux robots d’indexation	Crawler-Anweisungen	instrucciones para rastreadores	instruções para rastreadores	istruzioni per crawler	instrukcje dla robotów indeksujących
access authorization	autorizarea accesului	autorisation d’accès	Zugriffsberechtigung	autorización de acceso	autorização de acesso	autorizzazione di accesso	autoryzacja dostępu
watermarks	filigrane	filigranes	Wasserzeichen	marcas de agua	marcas d’água	filigrane	znaki wodne
false-positive risks	riscuri de rezultate fals pozitive	risques de faux positifs	Risiken falsch positiver Ergebnisse	riesgos de falsos positivos	riscos de falsos positivos	rischi di falsi positivi	ryzyko wyników fałszywie dodatnich
confidentiality problems	probleme de confidențialitate	problèmes de confidentialité	Vertraulichkeitsprobleme	problemas de confidencialidad	problemas de confidencialidade	problemi di riservatezza	problemy poufności
notice obligations	obligații de notificare	obligations de notification	Hinweispflichten	obligaciones de notificación	obrigações de notificação	obblighi di notifica	obowiązki informacyjne
unlawful appropriation	însușire ilegală	appropriation illicite	rechtswidrige Aneignung	apropiación ilícita	apropriação ilícita	appropriazione illecita	bezprawne przywłaszczenie
lawful substitution	substituție legală	substitution licite	rechtmäßige Substitution	sustitución lícita	substituição lícita	sostituzione lecita	legalne zastępowanie
litigation	litigii	contentieux	Rechtsstreitigkeiten	litigios	litígios	contenzioso	postępowania sądowe
shared standards	standarde comune	normes partagées	gemeinsame Standards	normas compartidas	normas compartilhadas	standard condivisi	wspólne standardy
rights holders	titulari de drepturi	titulaires de droits	Rechteinhaber	titulares de derechos	titulares de direitos	titolari dei diritti	uprawnieni
royalty regime	regim de redevențe	régime de redevances	Lizenzgebührenregelung	régimen de regalías	regime de royalties	regime delle royalties	system tantiem
public funding	finanțare publică	financement public	öffentliche Finanzierung	financiación pública	financiamento público	finanziamento pubblico	finansowanie publiczne
institutional subscriptions	abonamente instituționale	abonnements institutionnels	institutionelle Abonnements	suscripciones institucionales	assinaturas institucionais	abbonamenti istituzionali	subskrypcje instytucjonalne
open licences	licențe deschise	licences ouvertes	offene Lizenzen	licencias abiertas	licenças abertas	licenze aperte	otwarte licencje
false negatives	rezultate fals negative	faux négatifs	falsch negative Ergebnisse	falsos negativos	falsos negativos	falsi negativi	wyniki fałszywie ujemne
proportionate remedies	remedii proporționale	recours proportionnés	verhältnismäßige Rechtsbehelfe	remedios proporcionales	medidas proporcionais	rimedi proporzionati	proporcjonalne środki ochrony
legal entitlement	îndreptățire legală	droit légal	gesetzlicher Anspruch	derecho legal	direito legal	titolo giuridico	uprawnienie prawne
causal contribution	contribuție cauzală	contribution causale	kausaler Beitrag	contribución causal	contribuição causal	contributo causale	wkład przyczynowy
licensing	licențiere	octroi de licences	Lizenzierung	concesión de licencias	licenciamento	concessione di licenze	licencjonowanie
attribution	atribuire	attribution	Quellenzuschreibung	atribución	atribuição	attribuzione	wskazanie autorstwa
