en	ro	fr	de	es	pt	it	pl
discriminating predictions	predicții discriminante	prédictions discriminantes	unterscheidende Vorhersagen	predicciones discriminantes	previsões discriminantes	previsioni discriminanti	przewidywania rozstrzygające
closure	închidere cognitivă	clôture cognitive	kognitiver Abschluss	cierre cognitivo	fechamento cognitivo	chiusura cognitiva	domknięcie poznawcze
stakes	mize	enjeux	Tragweite der Entscheidung	lo que está en juego	o que está em jogo	posta in gioco	stawka decyzji
reversibility	reversibilitate	réversibilité	Reversibilität	reversibilidad	reversibilidade	reversibilità	odwracalność
urgency	urgență	urgence	Dringlichkeit	urgencia	urgência	urgenza	pilność
rollback paths	căi de revenire	voies de retour en arrière	Rückkehrpfade	vías de reversión	caminhos de reversão	percorsi di ripristino	ścieżki wycofania
safety margin	marjă de siguranță	marge de sécurité	Sicherheitsmarge	margen de seguridad	margem de segurança	margine di sicurezza	margines bezpieczeństwa
explanation debt	datorie explicativă	dette explicative	Erklärungsschuld	deuda explicativa	dívida explicativa	debito esplicativo	dług wyjaśniający
dependency	dependență	dépendance	Abhängigkeit	dependencia	dependência	dipendenza	zależność
revalidation	revalidare	revalidation	erneute Validierung	revalidación	revalidação	rivalidazione	ponowna walidacja
validated domain	domeniu validat	domaine validé	validierter Geltungsbereich	dominio validado	domínio validado	dominio validato	zweryfikowana dziedzina
failure signals	semnale de eșec	signaux de défaillance	Fehlersignale	señales de fallo	sinais de falha	segnali di fallimento	sygnały zawodności
exit cost	cost de ieșire	coût de sortie	Ausstiegskosten	coste de salida	custo de saída	costo di uscita	koszt wyjścia
debt score	scorul datoriei explicative	score de dette explicative	Kennzahl der Erklärungsschuld	puntuación de deuda explicativa	pontuação da dívida explicativa	punteggio del debito esplicativo	wskaźnik długu wyjaśniającego
discriminating evidence	dovezi discriminante	éléments de preuve discriminants	unterscheidende Evidenz	pruebas discriminantes	evidências discriminantes	evidenze discriminanti	dowody rozstrzygające
normative claims	afirmații normative	affirmations normatives	normative Aussagen	afirmaciones normativas	afirmações normativas	affermazioni normative	twierdzenia normatywne
predictions	predicții	prédictions	Vorhersagen	predicciones	previsões	previsioni	przewidywania
calibration	calibrare	calibration	Kalibrierung	calibración	calibração	calibrazione	kalibracja
accuracy	acuratețe	exactitude	Genauigkeit	exactitud	exatidão	accuratezza	dokładność
epistemic circuit breakers	întrerupătoare epistemice	disjoncteurs épistémiques	epistemische Schutzschalter	interruptores epistémicos	disjuntores epistémicos	interruttori epistemici	epistemiczne wyłączniki bezpieczeństwa
irreversible decision	decizie ireversibilă	décision irréversible	unumkehrbare Entscheidung	decisión irreversible	decisão irreversível	decisione irreversibile	nieodwracalna decyzja
decision owner	responsabilul deciziei	responsable de la décision	Entscheidungsverantwortlicher	responsable de la decisión	responsável pela decisão	responsabile della decisione	osoba odpowiedzialna za decyzję
explanation reviewer	evaluatorul explicației	évaluateur de l'explication	Prüfer der Erklärung	revisor de la explicación	revisor da explicação	revisore della spiegazione	recenzent wyjaśnienia
reversible pilot	proiect-pilot reversibil	projet pilote réversible	reversibles Pilotprojekt	proyecto piloto reversible	projeto-piloto reversível	progetto pilota reversibile	odwracalny projekt pilotażowy
advocacy	susținerea unei poziții	défense d'une position	Vertreten einer Position	defensa de una postura	defesa de uma posição	difesa di una posizione	obrona stanowiska
audit	audit	audit	Prüfung	auditoría	auditoria	verifica	audyt
accountability	răspundere	obligation de rendre compte	Rechenschaftspflicht	rendición de cuentas	prestação de contas	obbligo di rendere conto	rozliczalność
personal relationships	relații personale	relations personnelles	persönliche Beziehungen	relaciones personales	relações pessoais	relazioni personali	relacje osobiste
motives	motive	motivations	Beweggründe	motivos	motivos	motivi	motywy
assumptions	presupoziții	présupposés	Annahmen	supuestos	pressupostos	assunti	założenia
verified computations	calcule verificate	calculs vérifiés	überprüfte Berechnungen	cálculos verificados	cálculos verificados	calcoli verificati	zweryfikowane obliczenia
tool traces	urme ale utilizării instrumentelor	traces d'utilisation des outils	Spuren der Werkzeugnutzung	trazas del uso de herramientas	registos de uso de ferramentas	tracce dell'uso degli strumenti	ślady użycia narzędzi
known failures	eșecuri cunoscute	défaillances connues	bekannte Fehler	fallos conocidos	falhas conhecidas	fallimenti noti	znane przypadki zawodności
outfinitism	outfinitism	outfinitisme	Outfinitismus	outfinitismo	outfinitismo	outfinitismo	outfinityzm
finite agents	agenți finiți	agents finis	endliche Agenten	agentes finitos	agentes finitos	agenti finiti	agenci skończeni
computation	calcul	calcul	Berechnung	cómputo	computação	computazione	obliczanie
mathematical infinity	infinit matematic	infini mathématique	mathematische Unendlichkeit	infinito matemático	infinito matemático	infinito matematico	nieskończoność matematyczna
formal incompleteness	incompletitudine formală	incomplétude formelle	formale Unvollständigkeit	incompletitud formal	incompletude formal	incompletezza formale	niezupełność formalna
undecidability	indecidabilitate	indécidabilité	Unentscheidbarkeit	indecidibilidad	indecidibilidade	indecidibilità	nierozstrzygalność
computable problems	probleme calculabile	problèmes calculables	berechenbare Probleme	problemas computables	problemas computáveis	problemi calcolabili	problemy obliczalne
deterministic dynamics	dinamică deterministă	dynamique déterministe	deterministische Dynamik	dinámica determinista	dinâmica determinista	dinamica deterministica	dynamika deterministyczna
measurement errors	erori de măsurare	erreurs de mesure	Messfehler	errores de medición	erros de medição	errori di misurazione	błędy pomiaru
statistical uncertainty	incertitudine statistică	incertitude statistique	statistische Unsicherheit	incertidumbre estadística	incerteza estatística	incertezza statistica	niepewność statystyczna
selective representation	reprezentare selectivă	représentation sélective	selektive Darstellung	representación selectiva	representação seletiva	rappresentazione selettiva	selektywna reprezentacja
value judgments	judecăți de valoare	jugements de valeur	Werturteile	juicios de valor	juízos de valor	giudizi di valore	sądy wartościujące
limit map	hartă a limitelor	carte des limites	Grenzenkarte	mapa de límites	mapa de limites	mappa dei limiti	mapa granic
validated region	regiune validată	région validée	validierter Bereich	región validada	região validada	regione validata	zweryfikowany obszar
recovery	recuperare	rétablissement	Wiederherstellung	recuperación	recuperação	recupero	przywracanie sprawności
failure conditions	condiții de eșec	conditions de défaillance	Fehlerbedingungen	condiciones de fallo	condições de falha	condizioni di fallimento	warunki zawodności
counterfactual reliability	fiabilitate contrafactuală	fiabilité contrefactuelle	kontrafaktische Zuverlässigkeit	fiabilidad contrafáctica	fiabilidade contrafactual	affidabilità controfattuale	wiarygodność kontrfaktyczna
extrapolation	extrapolare	extrapolation	Extrapolation	extrapolación	extrapolação	estrapolazione	ekstrapolacja
provenance transformations	transformări ale provenienței	transformations de provenance	Transformationen entlang der Belegkette	transformaciones de procedencia	transformações de proveniência	trasformazioni della provenienza	przekształcenia w łańcuchu źródłowym
miscalibrated confidence	încredere calibrată greșit	confiance mal calibrée	fehlkalibrierte Sicherheit	confianza mal calibrada	confiança mal calibrada	sicurezza mal calibrata	błędnie skalibrowana pewność
layered observations	observații stratificate	observations stratifiées	mehrschichtige Beobachtungen	observaciones por capas	observações em camadas	osservazioni stratificate	obserwacje warstwowe
institutional experiments	experimente instituționale	expériences institutionnelles	institutionelle Experimente	experimentos institucionales	experimentos institucionais	esperimenti istituzionali	eksperymenty instytucjonalne
limit sensitivity	sensibilitate la limite	sensibilité aux limites	Sensibilität für Grenzen	sensibilidad a los límites	sensibilidade aos limites	sensibilità ai limiti	wrażliwość na granice
dissent	dezacord	dissidence	Widerspruch	disenso	dissenso	dissenso	sprzeciw
boundary discovery	descoperirea limitelor	découverte des limites	Entdeckung von Grenzen	descubrimiento de límites	descoberta de limites	scoperta dei limiti	odkrywanie granic
causal faithfulness	fidelitate cauzală	fidélité causale	kausale Treue	fidelidad causal	fidelidade causal	fedeltà causale	wierność przyczynowa
institutional reform	reformă instituțională	réforme institutionnelle	institutionelle Reform	reforma institucional	reforma institucional	riforma istituzionale	reforma instytucjonalna
individual accountability	răspundere individuală	responsabilité individuelle	individuelle Rechenschaftspflicht	rendición de cuentas individual	prestação de contas individual	responsabilità individuale	indywidualna rozliczalność
agency	capacitate de acțiune	capacité d'agir	Handlungsfähigkeit	capacidad de actuar	capacidade de agir	capacità di agire	sprawczość
compulsion	constrângere absolută	contrainte absolue	Zwang	coacción	coação	coercizione	przymus
surveillance	supraveghere	surveillance	Überwachung	vigilancia	vigilância	sorveglianza	nadzór
mechanism	mecanism	mécanisme	Mechanismus	mecanismo	mecanismo	meccanismo	mechanizm
scientific explanations	explicații științifice	explications scientifiques	wissenschaftliche Erklärungen	explicaciones científicas	explicações científicas	spiegazioni scientifiche	wyjaśnienia naukowe
AI reasoning	raționament IA	raisonnement de l'IA	KI-Schlussfolgern	razonamiento de la IA	raciocínio da IA	ragionamento dell'IA	rozumowanie AI
interpretive possibilities	posibilități interpretative	possibilités interprétatives	Interpretationsmöglichkeiten	posibilidades interpretativas	possibilidades interpretativas	possibilità interpretative	możliwości interpretacyjne
