en	ro	fr	de	es	pt	it	pl
formal problem classes	clase de probleme formale	classes de problèmes formels	formale Problemklassen	clases de problemas formales	classes de problemas formais	classi di problemi formali	klasy problemów formalnych
experimental channel	canal experimental	canal expérimental	experimenteller Kanal	canal experimental	canal experimental	canale sperimentale	kanał eksperymentalny
reproducible relationships	relații reproductibile	relations reproductibles	reproduzierbare Beziehungen	relaciones reproducibles	relações reproduzíveis	relazioni riproducibili	odtwarzalne zależności
publication incentives	stimulente pentru publicare	incitations à la publication	Publikationsanreize	incentivos de publicación	incentivos à publicação	incentivi alla pubblicazione	bodźce publikacyjne
scientific truth	adevăr științific	vérité scientifique	wissenschaftliche Wahrheit	verdad científica	verdade científica	verità scientifica	prawda naukowa
causal explanation	explicație cauzală	explication causale	kausale Erklärung	explicación causal	explicação causal	spiegazione causale	wyjaśnienie przyczynowe
differential transmission	transmitere diferențială	transmission différentielle	differenzielle Weitergabe	transmisión diferencial	transmissão diferencial	trasmissione differenziale	zróżnicowana transmisja
moral worth	valoare morală	valeur morale	moralischer Wert	valor moral	valor moral	valore morale	wartość moralna
vulnerable people	persoane vulnerabile	personnes vulnérables	verletzliche Menschen	personas vulnerables	pessoas vulneráveis	persone vulnerabili	osoby podatne na krzywdę
retrospective stories	povești retrospective	récits rétrospectifs	rückblickende Erzählungen	relatos retrospectivos	narrativas retrospetivas	racconti retrospettivi	opowieści retrospektywne
material constraints	constrângeri materiale	contraintes matérielles	materielle Einschränkungen	restricciones materiales	restrições materiais	vincoli materiali	ograniczenia materialne
bargaining	negociere	négociation	Aushandlung	negociación	negociação	negoziazione	negocjacje
reward indicators	indicatori de recompensă	indicateurs de récompense	Belohnungsindikatoren	indicadores de recompensa	indicadores de recompensa	indicatori di ricompensa	wskaźniki nagrody
social influence	influență socială	influence sociale	sozialer Einfluss	influencia social	influência social	influenza sociale	wpływ społeczny
unequal outcomes	rezultate inegale	résultats inégaux	ungleiche Ergebnisse	resultados desiguales	resultados desiguais	esiti diseguali	nierówne wyniki
perceptual effect	efect perceptiv	effet perceptif	Wahrnehmungseffekt	efecto perceptivo	efeito percetivo	effetto percettivo	efekt percepcyjny
cultural value	valoare culturală	valeur culturelle	kultureller Wert	valor cultural	valor cultural	valore culturale	wartość kulturowa
generative work	creație generativă	création générative	generative Arbeit	creación generativa	criação generativa	creazione generativa	twórczość generatywna
allocation of costs	alocarea costurilor	répartition des coûts	Kostenverteilung	asignación de costes	repartição de custos	ripartizione dei costi	podział kosztów
simulation hypothesis	ipoteza simulării	hypothèse de simulation	Simulationshypothese	hipótesis de simulación	hipótese da simulação	ipotesi della simulazione	hipoteza symulacji
external implementation	implementare externă	implémentation externe	externe Implementierung	implementación externa	implementação externa	implementazione esterna	zewnętrzna implementacja
observer-counting arguments	argumente bazate pe numărarea observatorilor	arguments de comptage des observateurs	Argumente durch Beobachterzählung	argumentos de recuento de observadores	argumentos de contagem de observadores	argomenti basati sul conteggio degli osservatori	argumenty oparte na zliczaniu obserwatorów
sampling scheme	schemă de eșantionare	plan d'échantillonnage	Stichprobenplan	esquema de muestreo	plano de amostragem	schema di campionamento	schemat doboru próby
causal relationships	relații cauzale	relations causales	kausale Beziehungen	relaciones causales	relações causais	relazioni causali	zależności przyczynowe
substrate	substrat	substrat	Substrat	sustrato	substrato	substrato	substrat
accessible evidence	dovezi accesibile	preuves accessibles	zugängliche Belege	pruebas accesibles	provas acessíveis	prove accessibili	dostępne dowody
outcome distributions	distribuții ale rezultatelor	distributions des résultats	Ergebnisverteilungen	distribuciones de resultados	distribuições de resultados	distribuzioni dei risultati	rozkłady wyników
adaptive experiments	experimente adaptive	expériences adaptatives	adaptive Experimente	experimentos adaptativos	experiências adaptativas	esperimenti adattivi	eksperymenty adaptacyjne
lattice model	model pe rețea	modèle sur réseau	Gittermodell	modelo reticular	modelo de rede	modello reticolare	model sieciowy
measurement effects	efecte de măsurare	effets de mesure	Messeffekte	efectos de medición	efeitos de medição	effetti di misurazione	efekty pomiaru
uniform pauses	pauze uniforme	pauses uniformes	einheitliche Pausen	pausas uniformes	pausas uniformes	pause uniformi	jednolite przerwy
internal record	înregistrare internă	trace interne	interne Aufzeichnung	registro interno	registo interno	registrazione interna	zapis wewnętrzny
differential change	schimbare diferențială	changement différentiel	differenzielle Veränderung	cambio diferencial	mudança diferencial	cambiamento differenziale	zmiana różnicowa
transition rules	reguli de tranziție	règles de transition	Übergangsregeln	reglas de transición	regras de transição	regole di transizione	reguły przejścia
hidden variables	variabile ascunse	variables cachées	verborgene Variablen	variables ocultas	variáveis ocultas	variabili nascoste	zmienne ukryte
conscious experiences	experiențe conștiente	expériences conscientes	bewusste Erfahrungen	experiencias conscientes	experiências conscientes	esperienze coscienti	świadome doświadczenia
dimensionless quantities	mărimi adimensionale	grandeurs sans dimension	dimensionslose Größen	magnitudes adimensionales	grandezas adimensionais	grandezze adimensionali	wielkości bezwymiarowe
thermal drift	derivă termică	dérive thermique	thermische Drift	deriva térmica	deriva térmica	deriva termica	dryft termiczny
faulty code	cod defectuos	code défectueux	fehlerhafter Code	código defectuoso	código defeituoso	codice difettoso	wadliwy kod
confirmation data	date de confirmare	données de confirmation	Bestätigungsdaten	datos de confirmación	dados de confirmação	dati di conferma	dane potwierdzające
artificial worlds	lumi artificiale	mondes artificiels	künstliche Welten	mundos artificiales	mundos artificiais	mondi artificiali	sztuczne światy
coarse observations	observații grosiere	observations grossières	grob aufgelöste Beobachtungen	observaciones de grano grueso	observações grosseiras	osservazioni a grana grossa	obserwacje zgrubne
faulty sensors	senzori defecți	capteurs défectueux	fehlerhafte Sensoren	sensores defectuosos	sensores defeituosos	sensori difettosi	wadliwe czujniki
false alarms	alarme false	fausses alertes	Fehlalarme	falsas alarmas	falsos alarmes	falsi allarmi	fałszywe alarmy
detection delay	întârziere a detectării	délai de détection	Erkennungsverzögerung	retardo de detección	atraso de deteção	ritardo di rilevamento	opóźnienie wykrycia
underdetermination	subdeterminare	sous-détermination	Unterbestimmtheit	subdeterminación	subdeterminação	sottodeterminazione	niedookreślenie
rival explanations	explicații rivale	explications concurrentes	konkurrierende Erklärungen	explicaciones rivales	explicações rivais	spiegazioni concorrenti	konkurencyjne wyjaśnienia
conditions of transfer	condiții de transfer	conditions de transfert	Transferbedingungen	condiciones de transferencia	condições de transferência	condizioni di trasferimento	warunki transferu
